rms,centroid,bandwidth,zcr,flatness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
0.065662615,3553.451759762686,3506.361953982653,0.08031831193066802,0.0694062,-496.1002,39.029762,5.7938643,3.3411703,5.9409947,-3.7191901,-8.9426155,-6.0883884,-9.02079,-17.932703,-19.148165,-13.821228,-13.120259,clean
0.104090326,468.8006087286145,751.5755115276293,0.013061032632107984,1.0706647e-06,-350.79425,242.09697,54.654156,9.330822,5.798698,0.87066877,3.308706,-3.233971,1.3687465,7.0389776,1.8668795,3.0964186,4.221426,clean
0.013590707,2857.3829845489,3233.192126066163,0.05868312557327762,0.0068652127,-447.84296,136.33716,-17.675917,44.81816,8.698291,-7.8892365,9.721256,-0.26713562,-3.4558907,6.057543,-1.8517147,2.3015294,-3.4058535,clean
0.09928525,1512.6198744224891,2362.715553253667,0.03461624404131356,4.9732753e-05,-299.04898,184.08449,-22.845518,3.2323475,24.83299,-35.63668,-28.469366,-8.551525,-12.730526,-0.9799012,-16.612167,-0.0049942792,-8.868922,clean
0.01601498,3078.4635593196986,4284.184117394336,0.04050341905623608,0.002248985,-456.3324,102.79834,-4.289085,41.513447,28.533995,17.043,16.753975,15.685318,7.47915,7.278832,-1.3351134,0.9842018,-4.048063,clean
0.03415617,1784.5837437680523,3468.282605982988,0.014734941206076135,0.0007465215,-446.3971,130.94728,26.657227,44.511047,39.281563,23.536198,19.300707,12.962581,8.621182,2.0227046,-3.7298806,-1.176931,-0.5029882,clean
0.08542731,1083.3827768205267,995.9821609940818,0.03742833857913669,0.000111289635,-308.9227,255.06693,-33.564163,-25.957329,12.145861,-17.381922,-20.463644,-9.840198,-9.074927,-7.1467586,-6.912151,-8.195065,-6.5567207,clean
0.026389085,1205.79533897956,2374.1663460477557,0.025976808795712483,0.0021077655,-526.0173,128.82764,70.02807,30.349228,10.911674,2.206911,0.38275093,1.9754614,3.203239,0.32075927,-6.1147046,-11.618801,-13.550271,clean
0.015540915,2123.738484924887,3279.5748765748126,0.04220675438949742,0.0077074,-569.77716,97.87107,55.106613,25.75742,9.288755,-0.6640065,-6.662645,-9.024934,-10.424815,-14.436824,-19.431192,-20.758974,-19.308544,clean
0.026326083,1250.1423189096297,2165.557150835156,0.03492099278544542,0.003974171,-504.40292,149.89847,68.630486,21.377098,3.7805939,-0.9061642,-0.30779186,2.0989048,2.0583773,-0.7967194,-0.29542607,4.9961996,7.896858,clean
0.11228718,490.53445277328956,1030.1773370481972,0.012879855327398047,2.4646922e-06,-347.81906,252.38365,47.63314,7.0161567,3.6047637,5.835038,1.9953171,-4.9084916,3.431927,2.0993602,-0.4762377,2.4080281,2.3614511,clean
